ID,Channel ID,Sign Language,Spoken Language,Video Name,Release Date,Webpage URL,Video URL,External Subtitles URL,Resolution,Cropped,Video Length,FPS,Number of Frames,Date of Acquisition,File Size,Subtitles Type,Subtitles,Sentences,Tokens,Characters
61,808,LSCh,Chilean,"#GobiernoEnTerreno Taller Lengua de Señas, clase 1",2020-10-16,https://www.youtube.com/watch?v=81Bq7uQvcCM,,,720p,no,2291,30,68730,2023-01-05,141.0159044265747,auto,614,,2928,14836
65,808,LSCh,Chilean,Fiestas patrias en Lengua de Señas Chilena #LenseBiobio #LSCh,2020-09-18,https://www.youtube.com/watch?v=fr0loq-aenk,,,720p,no,80,25,2000,2023-01-05,15.944161415100098,auto,3,,2,5
69,808,LSCh,Chilean,"#LenguaDeSeñas Aparición en programa la Comunidad del contenido, TVU.",2020-05-20,https://www.youtube.com/watch?v=4yorNkjcHuU,,,720p,no,968,30,29040,2023-01-05,204.6448860168457,auto,268,,1599,8967
73,808,LSCh,Chilean,"#LenguaDeSeñas Clase abierta, Lengua de Señas para principiantes.",2020-07-05,https://www.youtube.com/watch?v=8spLArJVa_8,,,720p,no,1093,30,32790,2023-01-05,99.45150947570801,auto,325,,1485,7563
75,808,LSCh,Chilean,Coronavirus Lengua de Señas Chilena 😷,2020-04-13,https://www.youtube.com/watch?v=bnH1ERTJA9o,,,720p,no,195,30,5850,2023-01-05,16.23606586456299,auto,14,,9,13
77,808,LSCh,Chilean,"Volveremos a brindar,  LSCh",2020-12-04,https://www.youtube.com/watch?v=OchUJ7JU3Zg,,,720p,no,226,30,6780,2023-01-05,54.37573719024658,auto,53,,226,1193
78,808,LSCh,Chilean,"Conversación en LSCh,Lengua de Señas Chilena",2020-04-04,https://www.youtube.com/watch?v=Qd42LVh7H1M,,,720p,no,326,30,9780,2023-01-05,27.760716438293457,auto,84,,404,1894
82,808,LSCh,Chilean,"Preguntas y respuesta en LSCh, con Cristopher",2020-03-26,https://www.youtube.com/watch?v=ggW5aaQCe2U,,,360p,no,899,30,26970,2023-01-05,45.92948913574219,auto,253,,1190,6146
83,808,LSCh,Chilean,"Charla en vivo, lengua de señas y salud.",2020-03-26,https://www.youtube.com/watch?v=lUiiXI5flUM,,,720p,no,2946,30,88380,2023-01-05,233.75642108917236,auto,802,,3606,19296
1,820,LSCh,Chilean,PROCESO CONSTITUYENTE EN LENGUA DE SEÑAS - ¿Qué es el Plebiscito de salida,2022-04-04,https://www.youtube.com/watch?v=wMztxtQDwpg,,,720p,no,82,30,2460,2023-01-12,9.924448013305664,auto,25,,139,829
2,820,LSCh,Chilean,PROCESO CONSTITUYENTE EN LENGUA DE SEÑAS - ¿Qué es el voto asistido,2021-10-04,https://www.youtube.com/watch?v=ece_eUiXzMY,,,720p,no,92,30,2760,2023-01-12,12.658344268798828,auto,32,,189,1069
3,820,LSCh,Chilean,PROCESO CONSTITUYENTE EN LENGUA DE SEÑAS - ¿Qué son y cómo funcionan las Comisiones Temáticas,2022-04-04,https://www.youtube.com/watch?v=hjXJWkrQ-k8,,,720p,no,88,30,2640,2023-01-12,10.689288139343262,auto,31,,158,999
4,820,LSCh,Chilean,PROCESO CONSTITUYENTE EN LENGUA DE SEÑAS - ¿Qué es el Pleno de la Convención Constitucional,2022-04-04,https://www.youtube.com/watch?v=KSWbNaFWtUk,,,720p,no,81,30,2430,2023-01-12,11.958324432373047,auto,26,,145,867
5,820,LSCh,Chilean,PROCESO CONSTITUYENTE EN LENGUA DE SEÑAS - ¿Qué es el quórum,2021-03-27,https://www.youtube.com/watch?v=LEqf3QB5xdU,,,720p,no,102,30,3060,2023-01-12,14.861347198486328,auto,33,,199,1161
6,820,LSCh,Chilean,PROCESO CONSTITUYENTE EN LENGUA DE SEÑAS - Participación popular en la CC,2022-04-04,https://www.youtube.com/watch?v=2GHQVkhU4eg,,,720p,no,65,30,1950,2023-01-12,8.147436141967773,auto,23,,116,759
7,820,LSCh,Chilean,PROCESO CONSTITUYENTE EN LENGUA DE SEÑAS - La Secretaria Técnica de la CC,2022-04-04,https://www.youtube.com/watch?v=IVEHkPTZKhs,,,720p,no,66,30,1980,2023-01-12,8.07265853881836,auto,22,,129,774
8,820,LSCh,Chilean,PROCESO CONSTITUYENTE EN LENGUA DE SEÑAS - Deberes de las y los constituyentes,2022-04-04,https://www.youtube.com/watch?v=bsCmBZa5bS8,,,720p,no,71,30,2130,2023-01-12,9.226790428161621,auto,27,,138,862
9,820,LSCh,Chilean,PROCESO CONSTITUYENTE EN LENGUA DE SEÑAS - Reglamento de ética de la CC,2022-04-04,https://www.youtube.com/watch?v=LmEBx3tWBjE,,,720p,no,79,30,2370,2023-01-12,9.926982879638672,auto,29,,160,990
10,820,LSCh,Chilean,PROCESO CONSTITUYENTE EN LENGUA DE SEÑAS - Principios rectores del reglamento de la CC,2022-04-04,https://www.youtube.com/watch?v=-H1N5zQQysY,,,720p,no,71,30,2130,2023-01-12,9.647805213928223,auto,22,,102,715
11,820,LSCh,Chilean,PROCESO CONSTITUYENTE EN LENGUA DE SEÑAS - Las Comisiones Temáticas de la Convención Constitucional,2022-04-04,https://www.youtube.com/watch?v=64qB0Flqm40,,,720p,no,80,30,2400,2023-01-12,10.030614852905273,auto,24,,103,751
12,820,LSCh,Chilean,PROCESO CONSTITUYENTE EN LENGUA DE SEÑAS - ¿Cómo está conformada la Convención Constitucional,2021-09-23,https://www.youtube.com/watch?v=XkuOUwBLbec,,,720p,no,77,30,2310,2023-01-12,8.801226615905762,auto,23,,124,757
13,820,LSCh,Chilean,PROCESO CONSTITUYENTE EN LENGUA DE SEÑAS - ¿Quiénes pueden votar,2021-07-04,https://www.youtube.com/watch?v=j7acfhORleY,,,720p,no,79,30,2370,2023-01-12,10.188278198242188,auto,23,,133,765
14,820,LSCh,Chilean,PROCESO CONSTITUYENTE EN LENGUA DE SEÑAS - ¿Qué son los escaños reservados,2021-03-31,https://www.youtube.com/watch?v=g2JtgkiVcUU,,,720p,no,79,30,2370,2023-01-12,9.077975273132324,auto,22,,128,767
15,820,LSCh,Chilean,PROCESO CONSTITUYENTE EN LENGUA DE SEÑAS - ¿Qué es la paridad,2021-03-31,https://www.youtube.com/watch?v=4IgFGcOTA_c,,,720p,no,89,30,2670,2023-01-12,11.461348533630371,auto,26,,157,875
16,820,LSCh,Chilean,PROCESO CONSTITUYENTE EN LENGUA DE SEÑAS - Reglamento de la Convención Constitucional,2021-03-27,https://www.youtube.com/watch?v=9C_uhaTSCOc,,,720p,no,98,30,2940,2023-01-12,14.789855003356934,auto,33,,188,1140
17,820,LSCh,Chilean,PROCESO CONSTITUYENTE EN LENGUA DE SEÑAS - Elección de constituyentes,2021-04-13,https://www.youtube.com/watch?v=Fea21YLsT10,,,720p,no,70,30,2100,2023-01-12,9.305362701416016,auto,23,,112,713
18,820,LSCh,Chilean,PROCESO CONSTITUYENTE EN LENGUA DE SEÑAS - ¿Qué es la Convención Constitucional,2021-03-24,https://www.youtube.com/watch?v=ErtYqTpZnsU,,,720p,no,86,30,2580,2023-01-12,12.509194374084473,auto,25,,151,907
19,820,LSCh,Chilean,PROCESO CONSTITUYENTE EN LENGUA DE SEÑAS - ¿Para qué sirve la Constitución,2021-03-22,https://www.youtube.com/watch?v=JpSBDrfSdKs,,,720p,no,81,30,2430,2023-01-12,9.87759780883789,auto,25,,135,820
20,820,LSCh,Chilean,PROCESO CONSTITUYENTE EN LENGUA DE SEÑAS - ¿Qué es la Constitución,2021-03-19,https://www.youtube.com/watch?v=vN3KFBEENYc,,,720p,no,88,30,2640,2023-01-12,11.650049209594727,auto,29,,166,1000
1,821,LSCh,Chilean,Empresas de servicios transitorios,2022-10-13,https://www.youtube.com/watch?v=fhDNlq0FAkA,,,720p,no,1201,30,36030,2023-01-12,140.27542781829834,hardcoded,,,,
2,821,LSCh,Chilean,Ley Fácil en Lengua de Señas Testamentos,2022-09-08,https://www.youtube.com/watch?v=fm5eSm6ibT8,,,720p,no,1201,30,36030,2023-01-12,139.18184757232666,hardcoded,,,,
3,821,LSCh,Chilean,Ley Fácil en Lengua de Señas Prácticas antisindicales y prácticas desleales,2022-07-13,https://www.youtube.com/watch?v=DN3WvlAqA3o,,,720p,no,1426,30,42780,2023-01-12,169.877911567688,hardcoded,,,,
4,821,LSCh,Chilean,Ley Fácil en Lengua de Señas Tramitación por internet de causas judiciales,2022-06-17,https://www.youtube.com/watch?v=0570KGJfFXw,,,720p,no,691,30,20730,2023-01-12,75.0407600402832,hardcoded,,,,
5,821,LSCh,Chilean,"Ley Fácil en Lengua de Señas Prevención, detección y persecución de la corrupción",2022-06-16,https://www.youtube.com/watch?v=1yAgaSsD3GA,,,720p,no,730,30,21900,2023-01-12,91.17770862579346,hardcoded,,,,
6,821,LSCh,Chilean,Guía legal en lengua de señas Pago automático de la línea de crédito,2022-02-06,https://www.youtube.com/watch?v=L2lUGP2kvfk,,,720p,no,269,30,8070,2023-01-12,37.516653060913086,hardcoded,,,,
7,821,LSCh,Chilean,Guía legal en lengua de señas Partidos Políticos,2022-05-24,https://www.youtube.com/watch?v=_4ETlLDjqOg,,,720p,no,1487,30,44610,2023-01-12,198.7457160949707,hardcoded,,,,
8,821,LSCh,Chilean,Guía en lengua de señas Velocidad vehicular,2022-05-05,https://www.youtube.com/watch?v=brDGmm0b1-g,,,720p,no,324,30,9720,2023-01-12,41.20688724517822,hardcoded,,,,
9,821,LSCh,Chilean,Guía en lengua de señas Trabajadores de restaurantes y turismo,2022-05-05,https://www.youtube.com/watch?v=-o7wVO93Ti8,,,720p,no,414,30,12420,2023-01-12,58.75017833709717,hardcoded,,,,
10,821,LSCh,Chilean,Guía Legal en Lengua de Señas  Negociación colectiva,2022-03-05,https://www.youtube.com/watch?v=C_CroA8k-ps,,,720p,no,1881,30,56430,2023-01-12,250.94984245300293,hardcoded,,,,
11,821,LSCh,Chilean,Pago de facturas a treinta días,2022-05-01,https://www.youtube.com/watch?v=dOoGv9JFxns,,,720p,no,650,30,19500,2023-01-12,74.49822235107422,hardcoded,,,,
12,821,LSCh,Chilean,"Maltrato infantil, a adultos mayores y a personas en situación de discapacidad",2022-04-01,https://www.youtube.com/watch?v=_bI4e7EbAeI,,,720p,no,709,30,21270,2023-01-12,93.34244346618652,hardcoded,,,,
13,821,LSCh,Chilean,Guía en lengua de señas Cómo Votar,2021-11-30,https://www.youtube.com/watch?v=hiiN0hlCGpY,,,720p,no,936,30,28080,2023-01-12,112.33628463745117,hardcoded,,,,
14,821,LSCh,Chilean,Guía en lengua de señas Universidades del Estado,2021-11-17,https://www.youtube.com/watch?v=A8KkTO2iQiM,,,720p,no,1153,30,34590,2023-01-12,155.0836009979248,hardcoded,,,,
15,821,LSCh,Chilean,Guía en lengua de señas Reforma Educacional Educación Parvularia,2021-12-11,https://www.youtube.com/watch?v=2IITdwmy9xc,,,720p,no,1043,30,31290,2023-01-12,93.23037910461426,hardcoded,,,,
16,821,LSCh,Chilean,Guía legal en lengua de señas Divorcio,2021-09-21,https://www.youtube.com/watch?v=5YmSEOG2cHI,,,720p,no,1143,30,34290,2023-01-12,118.30799007415771,hardcoded,,,,
17,821,LSCh,Chilean,Guía Legal en Lengua de Señas Libertad condicional,2021-01-09,https://www.youtube.com/watch?v=VcmAR_CGjpo,,,720p,no,1074,30,32220,2023-01-12,117.43803405761719,hardcoded,,,,
18,821,LSCh,Chilean,Guía Legal en Lengua de Señas  Pago de tarifa en el transporte público y registro de infractores,2021-08-25,https://www.youtube.com/watch?v=GT89fISQR_4,,,720p,no,1086,30,32580,2023-01-12,116.40424919128418,hardcoded,,,,
19,821,LSCh,Chilean,Guía Legal en Lengua de Señas Transporte ilegal de basura,2021-12-08,https://www.youtube.com/watch?v=s-XFkavVbxk,,,720p,no,466,30,13980,2023-01-12,50.37679672241211,hardcoded,,,,
20,821,LSCh,Chilean,Prohibición de bolsas plásticas en el comercio,2021-07-29,https://www.youtube.com/watch?v=6gwmfMEY5t8,,,720p,no,261,30,7830,2023-01-12,27.252230644226074,hardcoded,,,,
21,821,LSCh,Chilean,Guía Legal en Lengua de Señas Ley de Portonazos,2021-07-27,https://www.youtube.com/watch?v=QAn9R2cEHbk,,,720p,no,479,30,14370,2023-01-12,66.0763111114502,hardcoded,,,,
22,821,LSCh,Chilean,Ley de urgencia en salud,2021-03-17,https://www.youtube.com/watch?v=yMRZZuewswQ,,,720p,no,473,30,14190,2023-01-12,63.76000499725342,hardcoded,,,,
23,821,LSCh,Chilean,Guía Legal en Lengua de Señas Inclusión de personas en situación de discapacidad al mundo laboral,2021-01-22,https://www.youtube.com/watch?v=3U0vu1Qd-ac,,,720p,no,575,30,17250,2023-01-12,66.70885848999023,hardcoded,,,,
24,821,LSCh,Chilean,Guía Legal en Lengua de Señas Igualdad de salarios entre Hombres y Mujeres,2021-01-15,https://www.youtube.com/watch?v=x3Y3BPcMc_M,,,720p,no,284,30,8520,2023-01-12,37.400062561035156,hardcoded,,,,
25,821,LSCh,Chilean,Guía Legal en Lengua de Señas Colusión de empresas,2021-01-15,https://www.youtube.com/watch?v=umPaSOgABKg,,,720p,no,757,30,22710,2023-01-12,105.8807487487793,hardcoded,,,,
26,821,LSCh,Chilean,Guía Legal en Lengua de Señas Federaciones deportivas nacionales,2021-01-15,https://www.youtube.com/watch?v=dkXbtnHKZgk,,,720p,no,793,30,23790,2023-01-12,108.37568378448486,hardcoded,,,,
27,821,LSCh,Chilean,Guía Legal en Lengua de Señas Deportes adaptados y paralímpicos,2020-04-11,https://www.youtube.com/watch?v=QZtp4fieLJw,,,720p,no,425,30,12750,2023-01-12,55.39798641204834,hardcoded,,,,
28,821,LSCh,Chilean,Guía Legal en Lengua de Señas Competencias de los tribunales militares,2020-03-11,https://www.youtube.com/watch?v=gHt_8KBZ6cQ,,,720p,no,403,30,12090,2023-01-12,54.46118354797363,hardcoded,,,,
29,821,LSCh,Chilean,Guía Legal en Lengua de Señas Registro social de hogares,2020-03-11,https://www.youtube.com/watch?v=0b3iIBCbhaA,,,720p,no,344,30,10320,2023-01-12,39.48090076446533,hardcoded,,,,
30,821,LSCh,Chilean,Guía Legal en Lengua de Señas Exención del pago de peaje para vehículos de emergencia,2020-03-11,https://www.youtube.com/watch?v=mQPnlX2WteI,,,720p,no,257,30,7710,2023-01-12,32.12844944000244,hardcoded,,,,
31,821,LSCh,Chilean,Guía Legal en Lengua de Señas Consejos comunales de seguridad pública,2020-10-27,https://www.youtube.com/watch?v=XbtYgSOw098,,,720p,no,687,30,20610,2023-01-12,86.04508113861084,hardcoded,,,,
32,821,LSCh,Chilean,Guía Legal en Lengua de Señas Ciclovías,2020-10-15,https://www.youtube.com/watch?v=0oF_cjGgO4M,,,720p,no,832,30,24960,2023-01-12,84.97848415374756,hardcoded,,,,
33,821,LSCh,Chilean,Guía Legal en Lengua de Señas Bono para el cultivo y repoblamiento de algas,2020-08-25,https://www.youtube.com/watch?v=VWTA58709v4,,,720p,no,504,30,15120,2023-01-12,68.31332778930664,hardcoded,,,,
34,821,LSCh,Chilean,Guía Legal en Lengua de Señas Caleta de pescadores,2020-08-20,https://www.youtube.com/watch?v=KxIZgl-HPUo,,,720p,no,722,30,21660,2023-01-12,98.14747524261475,hardcoded,,,,
35,821,LSCh,Chilean,Guía Legal en Lengua de Señas Cobro por uso de estacionamiento,2020-08-20,https://www.youtube.com/watch?v=TH2N2itAUK4,,,720p,no,395,30,11850,2023-01-12,53.539435386657715,hardcoded,,,,
36,821,LSCh,Chilean,Guía Legal en Lengua de Señas Bingo solidario,2020-08-20,https://www.youtube.com/watch?v=0LgLt3gnu6g,,,720p,no,305,30,9150,2023-01-12,39.9853515625,hardcoded,,,,
37,821,LSCh,Chilean,Guía Legal en Lengua de Señas Posesión efectiva sin testamento,2020-06-25,https://www.youtube.com/watch?v=PRY0-vglA7I,,,720p,no,1042,30,31260,2023-01-12,144.84949016571045,hardcoded,,,,
38,821,LSCh,Chilean,Guía Legal en Lengua de Señas Transporte aéreo de pasajeros,2020-06-25,https://www.youtube.com/watch?v=jXmdyHJXTbk,,,720p,no,952,30,28560,2023-01-12,122.25362968444824,hardcoded,,,,
39,821,LSCh,Chilean,Guía Legal en Lengua de Señas Junta de vecinos,2020-06-25,https://www.youtube.com/watch?v=FQMB-IVhqrk,,,720p,no,760,30,22800,2023-01-12,149.79482173919678,hardcoded,,,,
40,821,LSCh,Chilean,Guía Legal en Lengua de Señas Calidad de la construcción,2020-06-25,https://www.youtube.com/watch?v=FnTSZlCNnCA,,,720p,no,422,30,12660,2023-01-12,48.21550750732422,hardcoded,,,,
41,821,LSCh,Chilean,Guía Legal en Lengua de Señas Senadoras y Senadores,2020-07-15,https://www.youtube.com/watch?v=r7cGoBioJlg,,,720p,no,329,30,9870,2023-01-12,50.84318542480469,hardcoded,,,,
42,821,LSCh,Chilean,Guía legal en lengua de señas Acoso sexual de menores y pornografía infantil,2020-04-30,https://www.youtube.com/watch?v=jqmahRvY5X0,,,720p,no,328,30,9840,2023-01-12,44.37924861907959,hardcoded,,,,
43,821,LSCh,Chilean,Guía legal en lengua de señas Licencia de conducir,2020-04-30,https://www.youtube.com/watch?v=Ld16OapIhzI,,,720p,no,833,30,24990,2023-01-12,114.66460227966309,hardcoded,,,,
44,821,LSCh,Chilean,Guía legal en lengua de señas Elecciones parlamentarias,2020-04-30,https://www.youtube.com/watch?v=RsZk4f_Ke6c,,,720p,no,789,30,23670,2023-01-12,138.19058322906494,hardcoded,,,,
